reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,facility_type,country,status,extracted_date
DC-2025-0674,"Surabhi Dental Hospital, Jaipur, Rajasthan, India",D-2025-0497,05 Jun 2025,04 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0680,"Dental Smiles, Paschim Vihar , Delhi, India",D-2025-0498,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0712,"The Dental Roots, New Delhi, Delhi, India",D-2025-0499,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0696,"Cavity Avengers Dental Clinic, Uttam nagar, Delhi, India",D-2025-0500,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0692,"Tooth Healerz, Chandigarh, Chandigarh, India",D-2025-0501,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0678,"Oro Care Facial Trauma Centre, Patna, Bihar, India",D-2025-0502,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2024-0650,"Dencity A Multispecialty Dental Clinic, Bikaner, Rajasthan, India",D-2025-0503,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0686,"Vision Dental Care, South West Delhi, Delhi, India",D-2025-0504,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.430377
DC-2025-0689,"Southwest Dental Centre, New Delhi, Delhi, India",D-2025-0505,12 Jun 2025,11 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0690,"K B Dental Clinic, Dilshad Garden, Delhi, Delhi, India",D-2025-0506,19 Jun 2025,18 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0673,"Riddhi Siddhi Dental Care, Sikar, Rajasthan, India",D-2025-0507,19 Jun 2025,18 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0703,"Dental Duo, Ghaziabad, Uttar Pradesh, India",D-2025-0508,19 Jun 2025,18 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2024-0652,"Cloverleaf Dental Clinic, Ghaziabad, Uttar Pradesh, India",D-2025-0509,26 Jun 2025,25 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0691,"K.L. Dental, Charkhi Dadri , Haryana, India",D-2025-0510,26 Jun 2025,25 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0705,"Sri Sai Appolo Dental Hospital, Anantapur, Andhra Pradesh, India",D-2025-0511,26 Jun 2025,25 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0694,"Elite Speciality Clinic, Dwarka, New Delhi, Delhi, India",D-2025-0512,26 Jun 2025,25 Jun 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0715,"A One Dental Hospital, Bharatpur, Rajasthan, India",D-2025-0513,03 Jul 2025,02 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0740,"Sai Mobident Dental Centre (A Unit Of Mobident Hospitals Pvt Ltd.), Delhi, Delhi, India",D-2025-0514,03 Jul 2025,02 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0711,"Ocean International Dental Hospital, Hyderabad, Telangana, India",D-2025-0515,10 Jul 2025,09 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0671,"Rai Dental And Implant Centre, Bareilly, Uttar Pradesh, India",D-2025-0516,10 Jul 2025,09 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2024-0670,"Shree Vijaya Durga Dental And Implant Clinic, Visakhapatnam, Andhra Pradesh, India",D-2025-0517,10 Jul 2025,09 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0721,"KPS Multispeciality Dental Hospital, Vuyyuru, Krishna, Andhra Pradesh, India",D-2025-0518,17 Jul 2025,16 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2024-0657,"Armaan Dental Clinic & Smile Centre, Bhiwani, Haryana, India",D-2025-0519,17 Jul 2025,16 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
D-2024-0666,"Nair Hospital Dental College, Mumbai, Maharashtra, India",D-2025-0520,24 Jul 2025,23 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.432308
DC-2025-0683,"Pitampura Dental Clinic, New Delhi, Delhi, India",D-2025-0521,24 Jul 2025,23 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0741,"Shakuntala Smiles and Gums Multispeciality Dental Clinic, Thane, Maharashtra, India",D-2025-0522,24 Jul 2025,23 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0728,"Mydenta Implant And Dental Centre (Mydenta Services), Jaipur, Rajasthan, India",D-2025-0523,24 Jul 2025,23 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2024-0667,"Lambade Dental Clinic, Nagpur, Maharashtra, India",D-2025-0524,24 Jul 2025,23 Jul 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2024-0659,"Super Specialist Deswal Dental Clinic, Rohtak, Haryana, India",D-2025-0525,07 Aug 2025,06 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0748,"Dant Care Studio, New Delhi, Delhi, India",D-2025-0526,07 Aug 2025,06 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0722,"Smile 32 Dental Clinic , Jaipur, Rajasthan, India",D-2025-0527,07 Aug 2025,06 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0736,"Shanti Dental Hospital, Jaipur, Rajasthan, India",D-2025-0528,14 Aug 2025,13 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0742,"Dentem (GT Denta Care LLP), Delhi, Delhi, India",D-2025-0529,14 Aug 2025,13 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0685,"Family Dental Care Centre, Ghaziabad, Uttar Pradesh, India",D-2025-0530,14 Aug 2025,13 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0724,"Global Dental Hospital Orthodontic And Implant Centre, Jodhpur, Rajasthan, India",D-2025-0531,28 Aug 2025,27 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
DC-2025-0714,"Surya Dental Clinic, Lucknow, Uttar Pradesh, India",D-2025-0532,28 Aug 2025,27 Aug 2029,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.434313
